movie_title,avg_compound,avg_positive,avg_neutral,avg_negative,avg_anger,avg_disgust,avg_fear,avg_joy,avg_sadness,avg_surprise
The Summit of the Gods,0.38629154715750175,0.518488752292627,0.19551278894048943,0.13219720494570367,0.0379531723368218,0.009879732415695638,0.08082602242692528,0.2976165243002223,0.08370106583816328,0.24366322703564824
CODA,0.14502130071322122,0.36769094053655865,0.2711734426425149,0.22266964263282715,0.049746248017375636,0.031429120681520206,0.037336066263184524,0.27827563901218433,0.11869084765901784,0.180015306576776
Their Finest,0.11724481796629208,0.3837153289499584,0.24904420589662676,0.26647051027163776,0.06451247818361922,0.011485475599413776,0.04972354745861886,0.27353440565165393,0.12910632994350824,0.19933773733561772
"Are You There God? It's Me, Margaret.",0.2817085398733616,0.4682412795163691,0.1728912218203186,0.18653273866162634,0.06211730335431637,0.022788882796303325,0.026293136354943226,0.32520651302300396,0.08719168666866604,0.29351126078516243
Song to Song,-0.030344529299561038,0.26939812464075624,0.3095646002404648,0.2997426528167492,0.06306880496446587,0.0543017858215351,0.040190797025196796,0.20032213255442644,0.11700941986669228,0.20636815386247573
Hunter Killer,0.06383233953267337,0.3300000529208531,0.2465578654257115,0.2661677109527712,0.08352488747720294,0.039264336792014805,0.05302754966561524,0.22559315893954288,0.0838707476109266,0.17482811742074164
Dear Evan Hansen,0.16588191489378612,0.4176353677983085,0.18683730616544683,0.25175345299765467,0.052250284195567126,0.02968060363375112,0.06714942261091585,0.26121082409052176,0.17564696896045154,0.21389125849314344
The Requin,-0.24046850796622127,0.20836243919555594,0.2159949302449197,0.4488309470644749,0.07499490292880111,0.14005119948336897,0.07604112529235804,0.15131197356638051,0.1363379057903371,0.1679545256131982
The Way Back,0.1635174176113291,0.41304903489199807,0.22581094275689223,0.24953161756467115,0.07763268242354736,0.017248868711828718,0.04252628682777383,0.22352513247220726,0.17267021512008876,0.19662982360638964
Armageddon Time,-0.221789227972428,0.23785754019704958,0.19890212621190584,0.4596467661888649,0.14147666348959315,0.07915631689247672,0.05970672776418112,0.17995840466154425,0.15963134063795828,0.16783508356660604
Shaft,0.046428738509615264,0.2846279499338319,0.27693677596670263,0.23819921095855534,0.1034165935843096,0.03510998459726878,0.03857953077977675,0.15810924287536182,0.09860490076011041,0.20257630856707692
Adipurush,0.24584939426432054,0.33398052100092174,0.4521235480081911,0.08813112633768466,0.03875422300460434,0.015366325979897084,0.0245390524975179,0.16156002681430737,0.05931610289029775,0.14834071575663985
Primal,0.036094759280482926,0.3231619986705482,0.3193695124494843,0.28706723951889823,0.08640927027018426,0.03640871362100972,0.03743866316624912,0.214458933887848,0.11102906639920543,0.16821917421145674
Misconduct,-0.1679569901068612,0.23621647161348622,0.2100694601298402,0.4041734583200979,0.08361167013287854,0.07744810345025366,0.07741849028043178,0.1966168086314205,0.19054455056874137,0.14448893656792797
"Roman J. Israel, Esq.",0.16503985831514,0.4140208310938241,0.2861493566368673,0.24898097577326034,0.08921317109291389,0.02688106144497782,0.05312481177263956,0.22511363486098293,0.10956764538111328,0.1920931728735533
Jay and Silent Bob Reboot,-0.15100220986641943,0.2551234133861726,0.20081297717570123,0.40612562191563484,0.08056754973176791,0.07819504432279697,0.039294196653031535,0.18982355584330435,0.14238337089864217,0.2064233046667141
Billy Lynn's Long Halftime Walk,-0.16093112611108357,0.23258528277341628,0.2610460202663373,0.3935164073163755,0.09422187391085483,0.06783941873654213,0.045219640928105626,0.15869070201839566,0.13532093826892314,0.21202037176246652
Underwater,-0.1187724473575751,0.2466323314079394,0.28160962695605124,0.36540477911786484,0.07742166322655972,0.04972295328703084,0.11167285648989486,0.16085749043695008,0.08168081799793674,0.23036792398275185
3 Generations,0.11799351251325928,0.3687227927864744,0.265578396904927,0.25072928150900853,0.06432932789231503,0.045966194588310375,0.013628537234371076,0.19753171550109982,0.19143798011534202,0.18306631480048124
The Pirates: The Last Royal Treasure,0.36270007893443107,0.4608677435712889,0.3094876997789834,0.09816766418516633,0.02988324874604583,0.012983464994613274,0.016344507358153307,0.32757496408652514,0.04363684184849258,0.220089280505199
Louder Than Bombs,0.13921376018164058,0.3022930045922597,0.41929464888914175,0.16307924361123394,0.06135577487875703,0.029948726561754745,0.011517149150313299,0.15732865252017894,0.07264348752020545,0.23124489872716367
Wonder Wheel,0.07521537683904171,0.39284770681522785,0.20316483710543254,0.3176323295058683,0.07562182203633708,0.035440465841384106,0.030342815043404654,0.3101181022950914,0.16733788823941723,0.17797407209989616
Aftermath,-0.24882774944106736,0.22323294375402233,0.20833982590663558,0.47206069390755145,0.11279333100460155,0.06014859012211668,0.10380935853308375,0.1664326817724698,0.20756829310751831,0.1342412520902386
Acts of Vengeance,0.1442692732172353,0.38806414966737585,0.32037494221419494,0.24379487658318663,0.08539809067692006,0.0483184547681178,0.025521043350246488,0.2612559434533718,0.13954701692065483,0.10172736705447145
Message from the King,0.05855275257180134,0.31942514757004875,0.3181563554533447,0.2608723960754772,0.07096276759441626,0.04402588772956122,0.02459549213623778,0.18564383254192457,0.126870966788847,0.20974470272582646
The Wolf's Call,0.22034016846408766,0.4154322875603553,0.21294264416041359,0.19509211956568423,0.04727230224225125,0.02611325091340635,0.08847330513949155,0.27244807725336645,0.06593049163066389,0.17391670115185046
Band Aid,0.24854039985009216,0.4882224187127907,0.2622446350446394,0.23968201816420664,0.09455198330000378,0.023905890811874945,0.006030570821497886,0.3120332272903232,0.05831719550769772,0.2201892226691019
Dead Trigger,-0.12405385897805293,0.20967138666349153,0.3362830119091086,0.33372524692832184,0.08065372435570069,0.08220075432560402,0.04072710448662591,0.12781272860709575,0.13894339107365034,0.13337928953425335
